,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-4.197,0.123,-4.427,-3.965,0.007,0.005,343.0,425.0,1.01
sh[0],0.037,0.124,-0.191,0.272,0.007,0.005,347.0,435.0,1.01
sh[1],0.001,0.129,-0.237,0.246,0.007,0.005,359.0,481.0,1.01
sh[2],0.181,0.35,-0.434,0.867,0.007,0.005,2906.0,2512.0,1.0
sh[3],-0.235,0.125,-0.467,0.003,0.007,0.005,360.0,445.0,1.01
sh[4],-0.478,0.128,-0.711,-0.23,0.007,0.005,379.0,519.0,1.01
sh[5],-0.571,0.142,-0.843,-0.305,0.006,0.005,489.0,776.0,1.01
sh[6],0.617,0.125,0.396,0.864,0.007,0.005,357.0,444.0,1.01
sh[7],0.128,0.127,-0.102,0.367,0.007,0.005,348.0,555.0,1.01
sh[8],-0.066,0.128,-0.312,0.172,0.007,0.005,369.0,548.0,1.01
sh[9],-0.95,0.161,-1.251,-0.648,0.007,0.005,573.0,894.0,1.01
sh[10],-0.468,0.126,-0.724,-0.25,0.007,0.005,355.0,469.0,1.01
sh[11],0.043,0.131,-0.21,0.279,0.007,0.005,381.0,607.0,1.01
sh[12],0.198,0.124,-0.039,0.428,0.007,0.005,352.0,413.0,1.01
sh[13],0.47,0.125,0.23,0.696,0.007,0.005,356.0,523.0,1.01
sh[14],0.547,0.125,0.299,0.768,0.007,0.005,345.0,440.0,1.01
sh[15],1.154,0.123,0.928,1.389,0.007,0.005,349.0,448.0,1.01
sh[16],-0.814,0.128,-1.046,-0.573,0.007,0.005,371.0,509.0,1.01
sh[17],0.005,0.125,-0.22,0.243,0.007,0.005,355.0,449.0,1.01
sh[18],0.484,0.124,0.256,0.716,0.007,0.005,349.0,431.0,1.01
sh[19],0.077,0.124,-0.17,0.298,0.007,0.005,349.0,463.0,1.01
sh[20],0.454,0.127,0.22,0.695,0.007,0.005,353.0,467.0,1.01
sh[21],0.567,0.13,0.339,0.821,0.007,0.005,395.0,478.0,1.01
sh[22],-0.276,0.125,-0.515,-0.043,0.007,0.005,347.0,469.0,1.01
sh[23],-1.472,0.125,-1.703,-1.233,0.007,0.005,352.0,492.0,1.01
