,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"log_incidence[16, 7]",-6.486,0.366,-7.169,-5.73,0.004,0.003,6626.0,2963.0,1.0
"log_incidence[17, 0]",-0.175,0.009,-0.191,-0.158,0.0,0.0,6751.0,3476.0,1.0
"log_incidence[17, 1]",-2.206,0.058,-2.312,-2.096,0.001,0.0,7302.0,3267.0,1.0
"log_incidence[17, 2]",-3.258,0.112,-3.472,-3.06,0.001,0.001,6185.0,2664.0,1.0
"log_incidence[17, 3]",-5.158,0.257,-5.663,-4.729,0.005,0.003,2624.0,2373.0,1.0
"log_incidence[17, 4]",-5.964,0.33,-6.595,-5.361,0.004,0.003,5837.0,3333.0,1.0
"log_incidence[17, 5]",-7.481,0.412,-8.357,-6.744,0.005,0.004,6570.0,3294.0,1.0
"log_incidence[17, 6]",-9.136,0.707,-10.553,-7.824,0.009,0.007,6298.0,3618.0,1.0
"log_incidence[17, 7]",-6.427,0.304,-6.958,-5.784,0.004,0.003,6334.0,3241.0,1.0
"log_incidence[18, 0]",-0.164,0.004,-0.173,-0.156,0.0,0.0,8284.0,3530.0,1.0
"log_incidence[18, 1]",-2.364,0.033,-2.428,-2.304,0.0,0.0,7185.0,3188.0,1.0
"log_incidence[18, 2]",-3.113,0.048,-3.208,-3.028,0.001,0.0,6372.0,2775.0,1.0
"log_incidence[18, 3]",-4.831,0.108,-5.036,-4.63,0.001,0.001,6860.0,3139.0,1.0
"log_incidence[18, 4]",-6.019,0.199,-6.379,-5.648,0.002,0.002,6944.0,3108.0,1.0
"log_incidence[18, 5]",-7.759,0.406,-8.557,-7.101,0.008,0.006,2551.0,3434.0,1.0
"log_incidence[18, 6]",-9.083,0.555,-10.134,-8.111,0.007,0.005,6489.0,3109.0,1.0
"log_incidence[18, 7]",-6.39,0.197,-6.755,-6.02,0.003,0.002,6020.0,3352.0,1.0
"log_incidence[19, 0]",-0.168,0.005,-0.177,-0.159,0.0,0.0,7017.0,3508.0,1.0
"log_incidence[19, 1]",-2.331,0.035,-2.394,-2.265,0.0,0.0,7877.0,3441.0,1.0
"log_incidence[19, 2]",-3.094,0.054,-3.203,-2.999,0.001,0.0,6870.0,3169.0,1.0
"log_incidence[19, 3]",-4.824,0.12,-5.055,-4.605,0.001,0.001,7079.0,3561.0,1.0
"log_incidence[19, 4]",-6.35,0.279,-6.901,-5.867,0.004,0.003,3784.0,2428.0,1.0
"log_incidence[19, 5]",-7.79,0.461,-8.71,-7.077,0.009,0.007,2383.0,2901.0,1.0
"log_incidence[19, 6]",-9.285,0.712,-10.591,-8.03,0.01,0.007,5466.0,3330.0,1.0
"log_incidence[19, 7]",-6.698,0.282,-7.242,-6.236,0.005,0.004,2786.0,3014.0,1.0
"log_incidence[20, 0]",-0.174,0.009,-0.192,-0.157,0.0,0.0,7011.0,3051.0,1.0
"log_incidence[20, 1]",-2.31,0.065,-2.424,-2.176,0.001,0.001,7429.0,3164.0,1.0
"log_incidence[20, 2]",-3.109,0.111,-3.318,-2.902,0.001,0.001,6832.0,3551.0,1.0
"log_incidence[20, 3]",-4.697,0.203,-5.105,-4.341,0.002,0.002,6619.0,3117.0,1.0
"log_incidence[20, 4]",-5.759,0.315,-6.339,-5.143,0.004,0.003,6723.0,3041.0,1.0
"log_incidence[20, 5]",-7.297,0.441,-8.145,-6.422,0.007,0.005,4378.0,3174.0,1.0
"log_incidence[20, 6]",-9.099,0.719,-10.488,-7.765,0.009,0.007,6499.0,3577.0,1.0
"log_incidence[20, 7]",-6.453,0.336,-7.066,-5.769,0.004,0.003,8283.0,3117.0,1.0
"log_incidence[21, 0]",-0.197,0.013,-0.223,-0.174,0.0,0.0,6285.0,3194.0,1.0
"log_incidence[21, 1]",-2.287,0.078,-2.432,-2.134,0.001,0.001,6963.0,3071.0,1.0
"log_incidence[21, 2]",-2.836,0.135,-3.081,-2.572,0.002,0.001,6153.0,2736.0,1.0
"log_incidence[21, 3]",-4.585,0.248,-5.03,-4.1,0.004,0.003,4245.0,3176.0,1.0
"log_incidence[21, 4]",-5.512,0.345,-6.107,-4.798,0.005,0.003,5161.0,3137.0,1.0
"log_incidence[21, 5]",-7.566,0.488,-8.518,-6.649,0.007,0.005,5237.0,2791.0,1.0
"log_incidence[21, 6]",-8.722,0.79,-10.06,-7.041,0.013,0.009,4236.0,3210.0,1.0
"log_incidence[21, 7]",-6.346,0.354,-7.011,-5.614,0.005,0.003,5352.0,3328.0,1.0
"log_incidence[22, 0]",-0.167,0.009,-0.183,-0.15,0.0,0.0,6214.0,3035.0,1.0
"log_incidence[22, 1]",-2.371,0.064,-2.498,-2.257,0.001,0.001,6260.0,3160.0,1.0
"log_incidence[22, 2]",-3.071,0.1,-3.256,-2.878,0.001,0.001,7143.0,2709.0,1.0
"log_incidence[22, 3]",-4.773,0.195,-5.115,-4.378,0.002,0.002,6891.0,3096.0,1.0
"log_incidence[22, 4]",-5.846,0.308,-6.463,-5.301,0.004,0.003,6868.0,3220.0,1.0
"log_incidence[22, 5]",-7.641,0.507,-8.636,-6.778,0.008,0.006,4676.0,3047.0,1.0
"log_incidence[22, 6]",-9.14,0.759,-10.596,-7.776,0.011,0.008,6000.0,3246.0,1.0
"log_incidence[22, 7]",-6.495,0.331,-7.174,-5.857,0.004,0.003,6557.0,3130.0,1.0
"log_incidence[23, 0]",-0.193,0.008,-0.209,-0.177,0.0,0.0,6760.0,3240.0,1.0
"log_incidence[23, 1]",-2.341,0.054,-2.448,-2.245,0.001,0.0,7593.0,3289.0,1.0
"log_incidence[23, 2]",-2.79,0.077,-2.937,-2.65,0.001,0.001,6931.0,3446.0,1.0
"log_incidence[23, 3]",-4.699,0.172,-5.015,-4.388,0.002,0.002,6562.0,3442.0,1.0
"log_incidence[23, 4]",-5.27,0.25,-5.732,-4.8,0.004,0.003,4372.0,3172.0,1.0
"log_incidence[23, 5]",-7.55,0.418,-8.431,-6.832,0.005,0.004,6582.0,3600.0,1.0
"log_incidence[23, 6]",-9.169,0.723,-10.426,-7.851,0.011,0.008,5799.0,2909.0,1.0
"log_incidence[23, 7]",-6.092,0.34,-6.67,-5.461,0.009,0.006,1466.0,2858.0,1.0
