,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-4.209,0.135,-4.47,-3.965,0.01,0.007,174.0,407.0,1.02
sh[0],0.05,0.136,-0.2,0.307,0.01,0.007,176.0,399.0,1.02
sh[1],0.013,0.139,-0.255,0.267,0.01,0.007,182.0,444.0,1.02
sh[2],0.189,0.346,-0.47,0.838,0.008,0.006,1997.0,2132.0,1.0
sh[3],-0.224,0.136,-0.471,0.04,0.01,0.007,178.0,441.0,1.02
sh[4],-0.467,0.14,-0.731,-0.204,0.01,0.007,186.0,462.0,1.02
sh[5],-0.558,0.151,-0.85,-0.287,0.01,0.007,222.0,511.0,1.02
sh[6],0.628,0.136,0.372,0.887,0.01,0.007,177.0,426.0,1.02
sh[7],0.137,0.139,-0.111,0.407,0.01,0.007,184.0,404.0,1.02
sh[8],-0.054,0.14,-0.303,0.223,0.01,0.007,188.0,423.0,1.02
sh[9],-0.938,0.172,-1.282,-0.625,0.01,0.007,301.0,620.0,1.01
sh[10],-0.456,0.138,-0.713,-0.196,0.01,0.007,179.0,382.0,1.02
sh[11],0.055,0.141,-0.205,0.322,0.01,0.007,199.0,427.0,1.02
sh[12],0.21,0.136,-0.033,0.467,0.01,0.007,176.0,426.0,1.02
sh[13],0.481,0.136,0.22,0.729,0.01,0.007,179.0,410.0,1.02
sh[14],0.558,0.136,0.298,0.805,0.01,0.007,178.0,421.0,1.02
sh[15],1.166,0.135,0.915,1.419,0.01,0.007,174.0,418.0,1.02
sh[16],-0.803,0.139,-1.078,-0.551,0.01,0.007,186.0,486.0,1.02
sh[17],0.018,0.137,-0.233,0.274,0.01,0.007,178.0,441.0,1.02
sh[18],0.496,0.135,0.247,0.753,0.01,0.007,176.0,440.0,1.02
sh[19],0.089,0.135,-0.168,0.342,0.01,0.007,175.0,425.0,1.02
sh[20],0.466,0.137,0.211,0.723,0.01,0.007,179.0,444.0,1.02
sh[21],0.579,0.14,0.312,0.841,0.01,0.007,185.0,406.0,1.02
sh[22],-0.264,0.137,-0.542,-0.026,0.01,0.007,180.0,400.0,1.02
sh[23],-1.461,0.136,-1.703,-1.194,0.01,0.007,176.0,412.0,1.02
sh_sigma,0.611,0.093,0.446,0.782,0.001,0.001,4569.0,2621.0,1.0
sigma_incidence[0],0.11,0.029,0.059,0.167,0.001,0.001,1631.0,2603.0,1.0
sigma_incidence[1],0.232,0.051,0.148,0.336,0.002,0.001,1151.0,1586.0,1.0
sigma_incidence[2],0.282,0.099,0.098,0.469,0.003,0.002,1214.0,1629.0,1.0
sigma_incidence[3],0.401,0.126,0.181,0.644,0.003,0.002,1762.0,1647.0,1.0
sigma_incidence[4],0.395,0.27,0.001,0.86,0.008,0.005,1084.0,1758.0,1.01
sigma_incidence[5],0.518,0.441,0.0,1.292,0.009,0.007,1717.0,1671.0,1.0
sigma_incidence[6],0.333,0.181,0.013,0.634,0.007,0.005,698.0,1373.0,1.01
"log_incidence[0, 0]",-0.188,0.005,-0.198,-0.178,0.0,0.0,7127.0,3758.0,1.0
"log_incidence[0, 1]",-2.291,0.036,-2.356,-2.222,0.0,0.0,8463.0,3174.0,1.0
"log_incidence[0, 2]",-2.86,0.053,-2.957,-2.757,0.001,0.0,7493.0,3574.0,1.0
"log_incidence[0, 3]",-4.945,0.134,-5.195,-4.695,0.002,0.001,5743.0,3287.0,1.0
"log_incidence[0, 4]",-5.678,0.194,-6.048,-5.317,0.002,0.002,6715.0,3292.0,1.0
"log_incidence[0, 5]",-7.622,0.376,-8.399,-7.006,0.006,0.004,4533.0,3195.0,1.0
"log_incidence[0, 6]",-9.271,0.731,-10.67,-8.075,0.011,0.008,5576.0,3276.0,1.0
"log_incidence[0, 7]",-6.62,0.262,-7.162,-6.184,0.004,0.003,4146.0,2746.0,1.0
"log_incidence[1, 0]",-0.184,0.012,-0.206,-0.161,0.0,0.0,5700.0,3114.0,1.0
"log_incidence[1, 1]",-2.364,0.077,-2.517,-2.223,0.001,0.001,5906.0,3378.0,1.0
"log_incidence[1, 2]",-2.858,0.128,-3.105,-2.626,0.002,0.001,6663.0,2682.0,1.0
"log_incidence[1, 3]",-4.626,0.241,-5.092,-4.175,0.003,0.002,4844.0,3175.0,1.0
"log_incidence[1, 4]",-5.781,0.361,-6.475,-5.119,0.005,0.003,6370.0,2832.0,1.0
"log_incidence[1, 5]",-7.577,0.493,-8.609,-6.704,0.007,0.005,5956.0,3021.0,1.0
"log_incidence[1, 6]",-9.085,0.715,-10.489,-7.757,0.01,0.007,6132.0,3022.0,1.0
"log_incidence[1, 7]",-6.252,0.366,-6.905,-5.518,0.006,0.005,3585.0,3389.0,1.0
"log_incidence[2, 0]",-0.181,0.018,-0.215,-0.149,0.0,0.0,4964.0,2746.0,1.0
"log_incidence[2, 1]",-2.294,0.108,-2.495,-2.084,0.001,0.001,6344.0,2990.0,1.0
"log_incidence[2, 2]",-3.033,0.233,-3.478,-2.599,0.003,0.002,4718.0,2452.0,1.0
"log_incidence[2, 3]",-4.807,0.316,-5.462,-4.215,0.004,0.003,6597.0,3115.0,1.0
"log_incidence[2, 4]",-5.736,0.447,-6.607,-4.881,0.006,0.004,5346.0,3179.0,1.0
"log_incidence[2, 5]",-7.495,0.531,-8.47,-6.376,0.007,0.005,5474.0,2774.0,1.0
"log_incidence[2, 6]",-9.033,0.802,-10.559,-7.528,0.011,0.008,6000.0,3026.0,1.0
"log_incidence[2, 7]",-6.448,0.402,-7.312,-5.677,0.005,0.004,6234.0,2996.0,1.0
"log_incidence[3, 0]",-0.168,0.008,-0.183,-0.153,0.0,0.0,8180.0,2934.0,1.0
"log_incidence[3, 1]",-2.301,0.055,-2.399,-2.193,0.001,0.0,8346.0,2880.0,1.0
"log_incidence[3, 2]",-3.176,0.095,-3.35,-2.999,0.001,0.001,7643.0,3479.0,1.0
"log_incidence[3, 3]",-5.027,0.211,-5.411,-4.632,0.003,0.002,4693.0,3334.0,1.0
"log_incidence[3, 4]",-5.742,0.274,-6.262,-5.213,0.003,0.002,7436.0,2936.0,1.0
"log_incidence[3, 5]",-7.249,0.406,-7.94,-6.391,0.007,0.005,3796.0,3370.0,1.0
"log_incidence[3, 6]",-9.143,0.701,-10.429,-7.827,0.01,0.007,5982.0,3357.0,1.0
"log_incidence[3, 7]",-6.659,0.359,-7.361,-6.067,0.006,0.004,3411.0,3089.0,1.0
"log_incidence[4, 0]",-0.176,0.011,-0.199,-0.156,0.0,0.0,5735.0,3038.0,1.0
"log_incidence[4, 1]",-2.301,0.077,-2.44,-2.15,0.001,0.001,6389.0,2988.0,1.0
"log_incidence[4, 2]",-3.091,0.138,-3.344,-2.83,0.002,0.001,5987.0,2849.0,1.0
"log_incidence[4, 3]",-4.642,0.239,-5.117,-4.214,0.003,0.002,5241.0,2791.0,1.0
"log_incidence[4, 4]",-5.911,0.375,-6.643,-5.224,0.005,0.004,5512.0,2269.0,1.0
"log_incidence[4, 5]",-7.57,0.482,-8.591,-6.722,0.007,0.005,5664.0,2738.0,1.0
"log_incidence[4, 6]",-9.084,0.731,-10.637,-7.852,0.01,0.007,5572.0,3236.0,1.0
"log_incidence[4, 7]",-6.362,0.363,-7.004,-5.576,0.005,0.004,5266.0,2572.0,1.0
"log_incidence[5, 0]",-0.169,0.014,-0.196,-0.143,0.0,0.0,4925.0,2633.0,1.0
"log_incidence[5, 1]",-2.327,0.098,-2.515,-2.146,0.001,0.001,5665.0,2916.0,1.0
"log_incidence[5, 2]",-3.15,0.201,-3.517,-2.78,0.003,0.002,4554.0,3241.0,1.0
"log_incidence[5, 3]",-4.821,0.289,-5.38,-4.26,0.004,0.003,5275.0,2749.0,1.0
"log_incidence[5, 4]",-5.821,0.422,-6.614,-5.024,0.006,0.004,5112.0,2570.0,1.0
"log_incidence[5, 5]",-7.504,0.517,-8.539,-6.506,0.007,0.005,5745.0,2957.0,1.0
"log_incidence[5, 6]",-9.034,0.767,-10.516,-7.567,0.011,0.008,5201.0,3125.0,1.0
"log_incidence[5, 7]",-6.469,0.389,-7.314,-5.796,0.005,0.003,6586.0,2959.0,1.0
"log_incidence[6, 0]",-0.237,0.012,-0.259,-0.215,0.0,0.0,4236.0,3419.0,1.0
"log_incidence[6, 1]",-2.127,0.064,-2.248,-2.01,0.001,0.001,4242.0,3090.0,1.0
"log_incidence[6, 2]",-2.609,0.082,-2.762,-2.455,0.001,0.001,5415.0,3188.0,1.0
"log_incidence[6, 3]",-4.548,0.2,-4.902,-4.167,0.003,0.002,3540.0,3125.0,1.0
"log_incidence[6, 4]",-5.45,0.273,-5.967,-4.931,0.004,0.003,4151.0,3532.0,1.0
"log_incidence[6, 5]",-7.398,0.433,-8.173,-6.498,0.006,0.004,5358.0,2822.0,1.0
"log_incidence[6, 6]",-9.175,0.694,-10.55,-7.955,0.009,0.007,6008.0,3319.0,1.0
"log_incidence[6, 7]",-6.404,0.308,-6.942,-5.783,0.004,0.003,4960.0,3023.0,1.0
"log_incidence[7, 0]",-0.195,0.012,-0.218,-0.174,0.0,0.0,5830.0,3336.0,1.0
"log_incidence[7, 1]",-2.184,0.071,-2.314,-2.047,0.001,0.001,5309.0,3442.0,1.0
"log_incidence[7, 2]",-3.047,0.123,-3.281,-2.825,0.001,0.001,7531.0,3031.0,1.0
"log_incidence[7, 3]",-4.684,0.216,-5.105,-4.291,0.003,0.002,5578.0,3230.0,1.0
"log_incidence[7, 4]",-5.492,0.314,-6.081,-4.902,0.004,0.003,5089.0,2985.0,1.0
"log_incidence[7, 5]",-7.275,0.447,-8.043,-6.291,0.008,0.005,3522.0,3173.0,1.0
"log_incidence[7, 6]",-9.11,0.729,-10.571,-7.819,0.01,0.007,5948.0,3127.0,1.0
"log_incidence[7, 7]",-6.426,0.336,-7.096,-5.782,0.004,0.003,7619.0,3106.0,1.0
"log_incidence[8, 0]",-0.163,0.011,-0.183,-0.143,0.0,0.0,5423.0,3191.0,1.0
"log_incidence[8, 1]",-2.296,0.074,-2.439,-2.159,0.001,0.001,6885.0,3145.0,1.0
"log_incidence[8, 2]",-3.329,0.155,-3.619,-3.045,0.002,0.002,4632.0,3102.0,1.0
"log_incidence[8, 3]",-4.896,0.25,-5.419,-4.465,0.003,0.002,6075.0,3103.0,1.0
"log_incidence[8, 4]",-5.899,0.363,-6.549,-5.224,0.005,0.004,5352.0,2780.0,1.0
"log_incidence[8, 5]",-7.367,0.458,-8.22,-6.392,0.006,0.004,5821.0,2971.0,1.0
"log_incidence[8, 6]",-9.062,0.725,-10.64,-7.812,0.01,0.007,5439.0,3062.0,1.0
"log_incidence[8, 7]",-6.454,0.361,-7.141,-5.738,0.004,0.003,6855.0,3305.0,1.0
"log_incidence[9, 0]",-0.181,0.016,-0.21,-0.151,0.0,0.0,4614.0,2710.0,1.0
"log_incidence[9, 1]",-2.313,0.101,-2.5,-2.116,0.001,0.001,5521.0,2991.0,1.0
"log_incidence[9, 2]",-3.009,0.207,-3.389,-2.605,0.003,0.002,5566.0,2733.0,1.0
"log_incidence[9, 3]",-4.691,0.29,-5.233,-4.134,0.004,0.003,4760.0,3210.0,1.0
"log_incidence[9, 4]",-5.79,0.43,-6.554,-4.949,0.006,0.004,5769.0,3410.0,1.0
"log_incidence[9, 5]",-7.49,0.514,-8.553,-6.477,0.008,0.005,4832.0,3057.0,1.0
"log_incidence[9, 6]",-9.03,0.751,-10.403,-7.483,0.011,0.008,5306.0,3104.0,1.0
"log_incidence[9, 7]",-6.322,0.415,-7.063,-5.454,0.006,0.004,4672.0,2662.0,1.0
"log_incidence[10, 0]",-0.184,0.01,-0.202,-0.166,0.0,0.0,7049.0,3438.0,1.0
"log_incidence[10, 1]",-2.26,0.062,-2.381,-2.147,0.001,0.001,7295.0,3357.0,1.0
"log_incidence[10, 2]",-2.995,0.106,-3.201,-2.805,0.001,0.001,7621.0,3064.0,1.0
"log_incidence[10, 3]",-4.892,0.213,-5.308,-4.514,0.003,0.002,5784.0,3397.0,1.0
"log_incidence[10, 4]",-5.784,0.311,-6.382,-5.199,0.004,0.003,7369.0,3221.0,1.0
"log_incidence[10, 5]",-7.629,0.506,-8.674,-6.729,0.007,0.005,5242.0,2995.0,1.0
"log_incidence[10, 6]",-8.812,0.689,-10.106,-7.397,0.01,0.007,4561.0,3237.0,1.0
"log_incidence[10, 7]",-6.478,0.331,-7.115,-5.816,0.004,0.003,7095.0,2965.0,1.0
"log_incidence[11, 0]",-0.161,0.012,-0.184,-0.139,0.0,0.0,3903.0,3017.0,1.0
"log_incidence[11, 1]",-2.373,0.088,-2.55,-2.22,0.001,0.001,4657.0,3291.0,1.0
"log_incidence[11, 2]",-3.172,0.167,-3.488,-2.862,0.002,0.002,4825.0,3138.0,1.0
"log_incidence[11, 3]",-4.956,0.279,-5.529,-4.474,0.004,0.003,5358.0,2509.0,1.0
"log_incidence[11, 4]",-5.797,0.397,-6.58,-5.093,0.005,0.004,5646.0,2920.0,1.0
"log_incidence[11, 5]",-7.519,0.485,-8.517,-6.643,0.007,0.005,5609.0,2639.0,1.0
"log_incidence[11, 6]",-9.057,0.744,-10.384,-7.596,0.01,0.007,5336.0,3273.0,1.0
"log_incidence[11, 7]",-6.522,0.399,-7.321,-5.778,0.006,0.004,4946.0,3081.0,1.0
"log_incidence[12, 0]",-0.162,0.006,-0.173,-0.151,0.0,0.0,6831.0,3244.0,1.0
"log_incidence[12, 1]",-2.411,0.046,-2.491,-2.321,0.001,0.0,6976.0,3348.0,1.0
"log_incidence[12, 2]",-3.032,0.066,-3.147,-2.9,0.001,0.001,8716.0,2767.0,1.0
"log_incidence[12, 3]",-5.047,0.17,-5.379,-4.752,0.002,0.002,4909.0,3254.0,1.0
"log_incidence[12, 4]",-6.06,0.268,-6.551,-5.544,0.004,0.003,5665.0,2994.0,1.0
"log_incidence[12, 5]",-7.431,0.351,-8.077,-6.747,0.004,0.003,7216.0,3508.0,1.0
"log_incidence[12, 6]",-8.933,0.594,-10.048,-7.8,0.007,0.005,6634.0,2933.0,1.0
"log_incidence[12, 7]",-6.696,0.318,-7.315,-6.156,0.006,0.004,2826.0,2924.0,1.0
"log_incidence[13, 0]",-0.21,0.009,-0.227,-0.192,0.0,0.0,5036.0,2832.0,1.0
"log_incidence[13, 1]",-2.257,0.054,-2.355,-2.155,0.001,0.001,5477.0,2803.0,1.0
"log_incidence[13, 2]",-2.724,0.078,-2.868,-2.575,0.001,0.001,6918.0,3187.0,1.0
"log_incidence[13, 3]",-4.486,0.188,-4.841,-4.158,0.003,0.002,2926.0,2107.0,1.0
"log_incidence[13, 4]",-5.542,0.267,-6.029,-5.018,0.003,0.002,6705.0,2922.0,1.0
"log_incidence[13, 5]",-7.272,0.417,-8.018,-6.426,0.007,0.005,3352.0,3271.0,1.0
"log_incidence[13, 6]",-8.868,0.657,-10.007,-7.45,0.009,0.007,5144.0,2959.0,1.0
"log_incidence[13, 7]",-6.139,0.329,-6.672,-5.502,0.008,0.006,1691.0,3033.0,1.0
"log_incidence[14, 0]",-0.186,0.008,-0.201,-0.173,0.0,0.0,7510.0,3158.0,1.0
"log_incidence[14, 1]",-2.244,0.049,-2.335,-2.152,0.001,0.0,7552.0,2932.0,1.0
"log_incidence[14, 2]",-3.005,0.08,-3.148,-2.854,0.001,0.001,8910.0,3359.0,1.0
"log_incidence[14, 3]",-4.943,0.182,-5.299,-4.615,0.002,0.002,5823.0,3182.0,1.0
"log_incidence[14, 4]",-5.551,0.25,-6.077,-5.12,0.003,0.002,6627.0,2945.0,1.0
"log_incidence[14, 5]",-7.728,0.488,-8.763,-6.969,0.009,0.006,3265.0,3103.0,1.0
"log_incidence[14, 6]",-9.178,0.682,-10.628,-8.03,0.01,0.007,5823.0,3123.0,1.0
"log_incidence[14, 7]",-6.406,0.28,-6.943,-5.844,0.003,0.002,6857.0,3225.0,1.0
"log_incidence[15, 0]",-0.179,0.004,-0.186,-0.173,0.0,0.0,6296.0,3619.0,1.0
"log_incidence[15, 1]",-2.313,0.024,-2.359,-2.269,0.0,0.0,6979.0,3472.0,1.0
"log_incidence[15, 2]",-3.004,0.036,-3.073,-2.938,0.0,0.0,6314.0,3337.0,1.0
"log_incidence[15, 3]",-4.71,0.085,-4.874,-4.555,0.001,0.001,5408.0,3364.0,1.0
"log_incidence[15, 4]",-5.503,0.123,-5.731,-5.265,0.002,0.001,5140.0,3278.0,1.0
"log_incidence[15, 5]",-7.333,0.266,-7.826,-6.83,0.004,0.003,5001.0,3173.0,1.0
"log_incidence[15, 6]",-9.427,0.734,-10.818,-8.343,0.012,0.008,4219.0,3115.0,1.0
"log_incidence[15, 7]",-6.559,0.184,-6.912,-6.227,0.003,0.002,4932.0,3212.0,1.0
"log_incidence[16, 0]",-0.178,0.011,-0.199,-0.158,0.0,0.0,7897.0,3040.0,1.0
"log_incidence[16, 1]",-2.298,0.073,-2.427,-2.153,0.001,0.001,9312.0,3328.0,1.0
"log_incidence[16, 2]",-3.03,0.129,-3.277,-2.798,0.002,0.001,7098.0,2966.0,1.0
"log_incidence[16, 3]",-4.938,0.25,-5.41,-4.463,0.003,0.002,5858.0,2925.0,1.0
"log_incidence[16, 4]",-5.706,0.342,-6.332,-5.033,0.004,0.003,6432.0,3055.0,1.0
"log_incidence[16, 5]",-7.571,0.5,-8.681,-6.698,0.008,0.006,5022.0,2879.0,1.0
"log_incidence[16, 6]",-9.081,0.712,-10.466,-7.842,0.01,0.007,5822.0,3257.0,1.0
